course_name,course_attribute,elective_field,instructor,content,attendance,assessment,grade
当代国际经济热点问题,通识选修课（公选课）,社会科学与现代科学,胡艺,神中神，必选，老师第一节课就承诺不会有考勤和作业（实际也确实没有），不过还是建议可以听听，老师讲的挺有意思的，人也挺好,无考勤，无作业,开卷考，一共八个题，选四个回答即可，挺简单的,91
汽车文化与人类文明,通识选修课（公选课）,科学精神与生命关怀,夏热,讲一些汽车原理和品牌故事。老师特别好，超级大水课，不听课不到课也不会管，给分特别好。强推,一篇1000字小论文，描述最喜欢的汽车型号（完成即可，不算入成绩），点了两三次名,提前给重点（30道题目），开卷考试，有一道题是填写任课老师和上课地点,95
1,体育课,,1,1,1,1,Unknown
理论力学,专业课程,,徐金虎,呵呵,呵呵,呵呵,Unknown
高等数学,公共课,,王孝礼,上课,有点名,考试加平时分,Unknown
高等数学,公共课,,王孝礼,上课,有点名,考试加平时分,Unknown
高等数学,公共课,,王孝礼,上课,有点名,考试加平时分,Unknown
社会语言学,专业课程,,覃业位,社会语言学，还可以,说是要考勤但是没考过。小组作业一个，个人作业一个,论文，字数不限，一般3000左右,93
训诂学,专业课程,,萧映,开卷考，给分很好,平时一次小组，偶尔考勤,开卷考试,Unknown
大学英语4,公共课,,何发兵,课程按照大纲教授，同时会有补充习题课和写作课，较为不错,印象中就一次签到但好像也不是很重要，何神平时作业几乎为0，就只有几次课堂展示吧随便水一水,闭卷统一考试,Unknown
大学英语4,公共课,,何发兵,课程按照大纲教授，同时会有补充习题课和写作课，较为不错,印象中就一次签到但好像也不是很重要，何神平时作业几乎为0，就只有几次课堂展示吧随便水一水,闭卷统一考试,Unknown
计算机视觉,专业课程,,许永超,计算机学院专选，课程略硬核，感兴趣可以听，给分一般,点名两次，五次实验作业，一个大作业,闭卷,Unknown
武术（初级）,体育课,,余涛,非常神，给分很好，老师人也很好,考勤不多,打一套初级三路长拳，老师人很好,99
物理前沿科技（创）,专业课程,,何军,分老师介绍物理学科的前沿研究领域,会有位置签到,任选领域写一篇综述,90
海外中国形象史,通识选修课（公选课）,中华文化与世界文明,李会玲,很好,两次思考题，纸质签到,开卷考,96
音乐欣赏,通识选修课（公选课）,艺术体验与审美欣赏,王渊,讲音乐,小测,考试,Unknown
药学导论,公共课,,多个老师,讲解药学发展和研究成果,无平时作业，随机考勤,结课写几百字总结和感受,Unknown
朝鲜半岛问题研究,通识选修课（公选课）,社会科学与现代科学,王佳佳,朝韩主题，来就是，ps：忠诚!,不定期点到，其余无,开卷考试,96
学术写作,专业课程,,余蔷薇,论文格式，摘要，文献综述写法,无考勤，平时作业是两次摘要练习,一份开题报告,92
积极心理学,通识选修课（公选课）,中华文化与世界文明,喻丰,太快乐了 每一节课都很有趣 给分也很好,不签到 偶尔需要填写一些问卷,论文（不是严格意义上的） 内容不限 字数不限,Unknown
毛概,公共课,,余杰,世界上最好的思政课老师！非常非常温柔，上课认真有趣，对学生超级友善，给分特别好！,学习通签到，全校统一的读书报告,统一闭卷考试,95
习概,公共课,,余杰,好好好！神中神！,有签到,闭卷考,93
经典广告案例赏析,通识选修课（公选课）,艺术体验与审美欣赏,王晔,广告蛮有趣的，不过老师会在群里公开点名批评学生作业...,每节课都点名，期末作业可以选择不同形式的广告。文案类是四个不多于20字的短文案或者四个500字内的长文案。如果选择长文案也必须写四个，虽然老师的课程要求并没有写，但是你没写四个会批评你。,有很多种广告形式，选择一种形式交一份期末作业。,93
医学史,通识选修课（公选课）,科学精神与生命关怀,刘永明,特别特别好，老师人好，给分也好，冲,签到，一次翻转课堂，期末结课论文,论文结课,Unknown
东亚区域合作概论,专业课程,,葛建廷,讲解东亚以及东南亚等政治格局，讲的很好,偶尔点名，没有作业,5000字论文,88
大学英语,公共课,,李榕,老师教的认真，给分挺好,有时会签到，平时作业是i write作文加上学习通翻译,期末考试,90
健身气功,体育课,,陈文英,八段锦、易筋经一些健身气功,平时作业自主练习，考勤会点名,考课上教的内容,90
文化与思辨,公共课,,方妍,最逆天的一位快班老师，新生分到了她的班赶快跑,事最多，又是论文又是视频展示，甚至寒假给你布置作业,正常考试,91
实变函数,专业课程,,王克磊,实变函数论（武大出版社） why clear老师非常好！,不考勤 平时作业是课后题,闭卷考试（普通班一般很多是叙述并证明定理）,100
1,体育课,,1,1,1,1,Unknown
民法二：物权法,专业课程,,温世扬；申晨,温世扬老师负责讲前面的内容，申晨老师负责讲最后的担保物权。温老师讲课中规中矩，其优势在于经验比较丰富，会举很多案例；申老师讲课个人感觉很不错，会尽量用通俗易懂的方式讲授，且注重同学们的反馈。,平时不点名，也没有作业，挺轻松的。,闭卷考试，题型包括单项选择题、简答题、案例分析题和论述题。,90
